[547058,644023] [527880,625991]
[434014,549983] [425939,555066]
[314993,503207] [334015,500691]
[30048,326932] [7998,337086]
[826777,816993] [855020,855047]
[866033,949041] [832970,932827]
[869272,912999] [866733,949019]
[54021,345205] [30995,326906]
[72001,350129] [54938,345937]
[93001,343871] [72981,350065]
[818988,610004] [824127,601991]
[152154,87035] [145856,60980]
[518904,177985] [556010,216009]
[441010,512903] [423940,520086]
[176015,705965] [169779,724000]
[681245,964032] [675770,938983]
[368010,692395] [340947,686985]
[478951,358055] [482013,355996]
[170979,315381] [186011,313861]
[907105,307005] [878965,259985]
[931004,308512] [907994,307730]
[977026,306862] [931992,308400]
[986027,290992] [977851,306053]
[976246,329002] [977310,306968]
[964961,342062] [976004,329967]
[966011,376004] [964687,342987]
[993006,384004] [966999,376947]
[923924,359005] [964100,342912]
[893984,353987] [923022,359008]
[892798,389010] [893257,353982]
[850980,398135] [892069,389961]
[831972,369946] [850009,398094]
[835253,356988] [831611,369011]
[875086,433076] [850971,398984]
[827905,436041] [850047,398950]
[807988,421925] [827078,436097]
[823983,485027] [827389,436988]
[851011,484565] [823999,485495]
[813946,514038] [823074,485991]
[771981,538016] [813033,514889]
[754936,511969] [771023,538026]
[461972,234928] [489006,240043]
[924997,72902] [948013,72936]
[141960,711925] [169018,724139]
[140877,694991] [141145,711026]
[146025,690862] [140995,694066]
[114995,701039] [140033,694937]
[316031,35886] [272971,55020]
[944066,439961] [935945,451018]
[505040,593010] [497965,589738]
[119979,152986] [129047,161084]
[763266,668027] [762926,655998]
[787887,905993] [790003,924025]
[430033,620057] [426728,606995]
[458015,618982] [430999,620235]
[458984,618901] [472014,622088]
[409038,463990] [371985,466349]
[416046,452988] [409927,463025]
[460010,428978] [416982,452007]
[477091,414899] [460897,428009]
[504086,392988] [477938,414029]
[637040,534926] [624972,537162]
[951007,541214] [929995,541586]
[536001,783066] [529956,778952]
[418117,938154] [402853,923992]
[270983,829066] [281045,827997]
[347986,88997] [375013,93090]
[330927,39973] [347018,88008]
[316955,35948] [330104,39013]
[19146,125964] [9917,157006]
[6913,101964] [19037,125035]
[27009,84938] [6990,101002]
[31000,52985] [27541,84026]
[38048,179023] [9979,157947]
[61033,181360] [38989,179770]
[50069,155999] [38893,179023]
[107009,191081] [61960,181754]
[84977,954150] [124002,941966]
[515967,269894] [538085,292021]
[196116,222004] [193955,195997]
[127031,467923] [102964,480012]
[959969,493047] [961011,491857]
[723003,741916] [711987,760018]
[322057,333061] [290990,293974]
[504049,392017] [478937,358970]
[769825,262987] [773084,270030]
[41003,467001] [18977,464854]
[650889,598025] [655289,574998]
[678004,593601] [650983,598219]
[580032,796966] [555904,815026]
[287989,847945] [296010,855125]
[291044,836953] [287984,847015]
[281990,827952] [291035,836110]
[802023,99078] [800599,87988]
[833001,115000] [802974,99997]
[750975,205105] [778006,200966]
[426027,606038] [391992,604705]
[668827,484977] [687004,529025]
[786025,263820] [773975,270029]
[806026,268257] [786965,263987]
[737995,261619] [769043,262539]
[708898,248942] [737004,261061]
[221969,588022] [229046,565998]
[557034,476918] [548829,483006]
[212990,288039] [222013,286946]
[209005,758979] [205875,783030]
[565986,487018] [577018,474847]
[145062,60008] [109952,28934]
[10859,757997] [11120,771028]
[844014,609197] [824998,601872]
[853258,629020] [844928,609978]
[775983,608947] [818005,610087]
[777271,573992] [775701,608026]
[771940,538997] [777329,573004]
[654071,972951] [646949,982070]
[41957,467051] [58120,439966]
[288025,106052] [286951,105877]
[948991,72164] [974002,71760]
[576003,694102] [546956,678951]
[136984,630785] [161011,636009]
[861946,688864] [890102,729005]
[235072,833848] [230953,841001]
[253057,868032] [230996,841960]
[753018,383029] [706989,363732]
[142235,462002] [139852,423985]
[851863,484975] [865245,540023]
[313806,355091] [322156,333940]
[292921,382030] [313012,355998]
[297296,416011] [292967,382993]
[357006,324814] [322980,333045]
[353843,314980] [357007,324037]
[370066,350031] [357803,324962]
[989080,702045] [956995,689875]
[40044,942009] [17960,932945]
[188984,763015] [209005,758979]
[169886,724996] [188019,763044]
[602911,350109] [626082,323991]
[492031,142923] [481999,144063]
[164082,109012] [152992,87924]
[148932,124062] [164050,109940]
[118975,82952] [152037,87224]
[119992,152168] [148127,124963]
[82983,954361] [84001,954430]
[60946,926944] [82085,954039]
[40925,942002] [60109,926952]
[951993,541333] [975016,539976]
[75998,712060] [85001,710905]
[255003,423910] [233954,454064]
[297033,416865] [255981,423006]
[705990,145152] [736038,141947]
[132959,472055] [142037,462995]
[127985,467958] [132002,472022]
[549031,437922] [535981,450087]
[787994,905181] [815173,888993]
[15101,565949] [2982,585018]
[488025,282729] [457999,287224]
[748000,67025] [725962,31941]
[686118,80989] [685676,90022]
[505982,593269] [523007,587898]
[107768,191027] [129059,161982]
[556884,216948] [600066,249009]
[193923,195007] [223011,142944]
[156055,511944] [153953,520016]
[608020,60966] [601999,77027]
[956194,689994] [941892,724017]
[790977,924867] [832003,932135]
[173926,466845] [195014,485082]
[142987,462835] [173037,466035]
[762000,655031] [745985,649923]
[176930,705044] [215102,683995]
[333944,867997] [362046,886020]
[604992,503038] [607095,483995]
[890995,729031] [941029,724954]
[372961,159872] [413019,168003]
[365069,7957] [330911,39083]
[374082,20046] [365921,7998]
[286203,105004] [272981,55965]
[350992,150062] [375065,93972]
[372032,159084] [350966,150982]
[348961,199119] [372074,159972]
[317985,213097] [348032,199920]
[448032,200003] [413883,168953]
[461114,234001] [448978,200977]
[515035,269047] [489969,240824]
[488923,282029] [515001,269904]
[487950,297003] [488085,282968]
[482982,355020] [487532,297996]
[195962,485907] [245096,508096]
[186011,313004] [182813,285996]
[110999,898001] [113024,887993]
[21065,745928] [10946,757065]
[43027,758016] [21972,745921]
[73002,788016] [43960,758852]
[75005,712998] [43935,758078]
[996013,152007] [990919,145952]
[401052,789946] [380961,815085]
[625998,627050] [629004,623902]
[446973,805971] [459177,825010]
[411015,547155] [405989,540923]
[393937,548060] [405002,540988]
[425019,555039] [411935,547918]
[911974,635874] [943001,637227]
[504913,392027] [526010,357924]
[474955,22995] [506022,30010]
[585022,41126] [506998,30952]
[595009,41442] [585990,41684]
[596232,21998] [595566,41010]
[608000,60023] [595998,41930]
[678962,593077] [698021,589894]
[711032,760975] [703859,811004]
[815166,888022] [801881,850941]
[404014,705082] [368993,692995]
[421120,716016] [404992,705941]
[447013,726243] [421958,716994]
[685020,90020] [666992,87999]
[392949,759937] [401050,789000]
[355988,767054] [392003,759919]
[318997,870032] [333007,867745]
[185977,53846] [200021,80054]
[168993,18987] [185062,53042]
[145998,60199] [185025,53771]
[508984,961976] [532004,963022]
[741258,175007] [736498,141991]
[721950,189062] [741047,175980]
[750053,205030] [741905,175956]
[270012,829732] [235961,833014]
[958977,191066] [996124,152982]
[902917,153989] [958067,191004]
[901065,103994] [902089,153007]
[882992,86869] [901085,103073]
[913074,75917] [901861,103005]
[924015,72941] [913981,75130]
[717910,696991] [723056,741030]
[662995,757926] [711014,760394]
[651865,740998] [662106,757023]
[617999,757077] [651003,740979]
[584885,734986] [617002,757008]
[591279,704998] [584904,734015]
[728037,893964] [718971,895140]
[88040,426801] [58996,439147]
[139014,423652] [88993,426135]
[826051,816953] [801921,850109]
[756917,840946] [801006,850176]
[881064,998008] [866763,949994]
[728941,893054] [756117,840994]
[704931,930001] [718069,895975]
[722085,938026] [704974,930885]
[675951,938015] [704000,930888]
[654961,972064] [681025,964947]
[643963,909899] [675013,938077]
[619983,913046] [643029,909949]
[611896,877946] [619106,913020]
[679967,864961] [718033,895017]
[703148,811894] [679981,864004]
[543990,924822] [559050,932006]
[896955,667111] [911067,635996]
[903084,676016] [896966,667995]
[861943,688043] [896031,667923]
[940050,851968] [937642,869004]
[503008,829430] [459998,825974]
[401967,789905] [446024,805051]
[580993,796767] [589025,798148]
[404921,705003] [424044,678958]
[309948,616990] [310013,617045]
[591062,704044] [576968,694961]
[570899,763004] [584081,734929]
[545489,712000] [546081,678991]
[516960,726026] [545015,712830]
[491982,712831] [516053,726126]
[547027,644974] [546602,678024]
[561152,627981] [547922,644021]
[580070,796005] [570982,763974]
[536999,783947] [555099,815008]
[523905,587983] [527418,625004]
[519910,556988] [523265,587058]
[537048,538988] [519952,556084]
[472991,622054] [497019,589993]
[455992,734251] [491019,712910]
[447942,726989] [455016,734024]
[328975,646999] [340092,686050]
[310992,617997] [328044,646066]
[484996,774903] [529006,778116]
[282856,653004] [310002,617934]
[264948,648982] [282044,653118]
[256998,652191] [264010,648973]
[446937,805035] [484024,774966]
[335979,759898] [355007,767089]
[303992,760124] [335000,759453]
[257976,766129] [303005,760910]
[209980,758833] [257001,766083]
[111904,704017] [114014,701952]
[112969,695996] [114069,701010]
[115041,679992] [112892,695050]
[85914,710134] [111005,704961]
[49925,681999] [75005,712093]
[44953,659942] [49000,681030]
[213944,627960] [256017,652122]
[202995,634092] [213023,627960]
[221039,588978] [213990,627010]
[161998,636172] [202017,634940]
[123950,596974] [136085,630042]
[425334,555998] [426227,606009]
[423055,520974] [405951,540185]
[467044,541771] [434976,549102]
[690957,650997] [717187,696042]
[673977,664115] [690083,650848]
[676963,629999] [690013,650032]
[695002,624874] [676987,629181]
[639945,658887] [673001,664036]
[625974,627980] [639097,658043]
[650070,598991] [629953,623052]
[637921,534949] [655092,574024]
[604883,503997] [624114,537089]
[577983,474740] [607026,483115]
[557930,476932] [565040,487078]
[535926,450902] [557126,476071]
[648017,483145] [607990,483171]
[668005,484163] [648972,483245]
[763007,668902] [717938,696023]
[775215,608983] [762758,655001]
[670086,428999] [668671,484005]
[896024,667125] [853997,629905]
[900849,591973] [911165,635026]
[929015,541990] [900865,591020]
[959952,493982] [975199,539026]
[962458,464989] [961542,491003]
[935948,451927] [962008,464306]
[285016,550934] [229999,565017]
[321006,558064] [285993,550854]
[314017,503946] [285895,550077]
[371065,466976] [334987,500083]
[361009,264785] [337962,271070]
[353180,314029] [337934,271985]
[30114,326042] [8872,262982]
[492831,142974] [518002,177102]
[154983,510948] [156077,511012]
[71989,885954] [110034,898105]
[64875,900004] [71232,885999]
[60870,926042] [64277,900994]
[708008,248013] [674932,220945]
[588974,342889] [602013,350001]
[658024,302916] [626981,323002]
[667033,299996] [658950,302160]
[526989,357024] [588102,342975]
[37017,859978] [3981,869112]
[666003,87015] [608954,60974]
[705329,145012] [685996,90994]
[832194,932993] [814925,994057]
[448991,200040] [481078,144990]
[945922,909929] [995007,942079]
[102077,480969] [97979,512029]
[498963,970093] [508085,961914]
[543005,924931] [532892,963014]
[117017,215034] [107989,191968]
[116915,249011] [117474,215982]
[98989,247636] [116025,249007]
[224003,8898] [168971,18258]
[223037,142039] [200780,80994]
[182711,285044] [196204,222994]
[212024,288222] [182977,285823]
[187243,360001] [186916,313992]
[272023,55022] [224908,8969]
[230002,841792] [190999,842937]
[15815,565064] [28012,543912]
[67014,848754] [37965,859037]
[35146,894021] [37316,859996]
[64046,900123] [35945,894993]
[418934,938969] [422138,946004]
[674915,220033] [721083,189918]
[798916,303024] [806006,268917]
[725026,31974] [686988,80024]
[800007,87027] [748976,67752]
[882034,86938] [833998,115071]
[835054,356029] [798988,303984]
[154032,510009] [132959,472927]
[233036,454795] [195981,485013]
[954035,888886] [945871,909013]
[937977,869950] [954041,888104]
[362953,886836] [402031,923116]
[296990,855998] [318009,870069]
[124942,941947] [192041,985010]
[97074,512789] [28979,543046]
[940975,851060] [949013,843950]
[370994,350958] [410045,359021]
[285062,550015] [245970,508904]
[88083,426001] [72834,350992]
[936979,838987] [940178,851023]
[971189,864992] [954975,888074]
[912862,808966] [936013,838024]
[855982,855047] [912000,808865]
[205971,783914] [235054,833013]
[23982,972831] [53136,999002]
[752850,443009] [753232,383984]
[807019,421947] [752878,443056]
[67556,848000] [73093,788972]
[23815,972002] [40120,942899]
[559984,932045] [619097,913868]
[289790,944028] [318039,870945]
[279919,996035] [289336,944988]
