[114040,701955] [111980,704030]
[485956,822945] [503008,829014]
[472005,622983] [462994,633054]
[404085,705993] [400942,707018]
[420013,710056] [404995,705799]
[869936,912937] [888010,917021]
[616965,876002] [635063,857970]
[555025,815009] [540991,805950]
[156013,511165] [154975,510876]
[790057,924051] [787921,905992]
[955865,666979] [956524,689006]
[943987,637905] [973002,638152]
[919981,631925] [943004,637128]
[911982,635079] [919024,631998]
[668027,484977] [659998,498026]
[722064,938063] [716941,932962]
[442991,735018] [447100,726980]
[324003,486997] [314982,503002]
[593985,80018] [601051,77978]
[495053,764926] [484973,774033]
[719036,790991] [713966,793050]
[703989,811061] [713099,793987]
[707021,813186] [703975,811869]
[696868,824015] [703060,811999]
[727027,771998] [719852,790000]
[711995,760992] [727068,771051]
[710907,758967] [711183,760018]
[723020,741937] [710975,758112]
[720180,835011] [707996,813948]
[744008,840038] [720988,835990]
[534988,860935] [566009,883027]
[522961,882065] [534075,860974]
[533997,828994] [534259,860002]
[652050,194014] [630865,172926]
[603983,190008] [630005,172931]
[605089,195026] [603831,190991]
[612020,204078] [605984,195922]
[254067,669965] [250932,686015]
[259010,653984] [254974,669013]
[256997,652950] [259010,653043]
[513089,261025] [512753,248995]
[849985,75007] [856043,61953]
[357015,324091] [353951,314980]
[325987,313677] [353010,314369]
[322758,333002] [325068,313997]
[313932,355000] [322092,333990]
[216988,450966] [233006,454098]
[740005,546995] [734896,561029]
[380993,815884] [397031,822019]
[10958,757012] [21116,745980]
[183816,394013] [187143,360989]
[551046,695045] [546907,678979]
[292904,382972] [300012,396050]
[296009,855138] [293999,855044]
[732997,638976] [745040,649056]
[493056,217030] [486967,196974]
[692049,532001] [687988,529984]
[132007,472085] [127968,467961]
[228052,580977] [221956,588017]
[234248,570993] [228949,580039]
[455185,734995] [452997,741060]
[219954,290918] [232024,300021]
[222034,286971] [219976,290106]
[92982,182961] [107047,191013]
[491996,712979] [516003,726121]
[450012,801952] [446992,805002]
[456082,405024] [440973,383945]
[477050,414079] [456940,405942]
[471961,428012] [477024,414967]
[37004,859994] [3997,869038]
[792003,667208] [779999,663974]
[543918,924944] [559016,932036]
[341995,197762] [348037,199005]
[714928,946008] [722032,938997]
[665998,781006] [684022,779959]
[662852,757987] [665040,781001]
[651944,740997] [662055,757003]
[631970,744145] [651040,740951]
[26975,66009] [31114,52961]
[828170,851051] [820934,835989]
[43001,758824] [34993,759037]
[702990,707065] [717029,696933]
[870882,990946] [881014,998021]
[696044,824961] [679987,864072]
[116004,249022] [98994,247774]
[843047,693008] [841871,686978]
[861016,688992] [843985,693008]
[822962,707012] [843007,693876]
[825037,718009] [822859,707987]
[883037,662921] [861994,688048]
[896001,667200] [883996,662992]
[903044,676042] [896980,667985]
[879884,647974] [883129,662014]
[858047,996021] [854999,990912]
[153963,520046] [156065,511994]
[782982,782886] [794075,791027]
[774982,779994] [782052,782030]
[760961,752989] [774121,779008]
[912020,808120] [894986,804932]
[955036,666010] [943798,637989]
[879998,647197] [911018,635916]
[877067,382014] [874885,364997]
[180021,97939] [164983,109043]
[189005,100018] [180997,97939]
[935996,451029] [944001,439950]
[934946,415998] [944097,439016]
[962027,464010] [935966,451933]
[18996,464572] [41011,467304]
[695908,624006] [697045,612992]
[910004,552038] [897965,542998]
[885808,337024] [889079,326945]
[793993,432010] [807019,421905]
[980997,166549] [991004,166496]
[505060,593041] [497975,589985]
[523013,587903] [505953,593003]
[900977,591953] [904023,599027]
[866016,949122] [832984,932971]
[731042,154005] [705981,145953]
[308987,565036] [321066,558829]
[915952,988011] [932107,953995]
[916992,182902] [933038,188076]
[614009,598361] [592979,597862]
[629023,623021] [614825,598992]
[625985,627024] [629007,623996]
[650034,598966] [629994,623011]
[649963,595995] [650117,598000]
[315060,575001] [308943,565870]
[323167,540999] [321924,558000]
[275915,528970] [285075,550001]
[632974,470912] [634000,472033]
[648116,483024] [634938,472925]
[659012,498009] [648995,483950]
[587996,257040] [600058,249964]
[205019,783901] [199976,785043]
[188971,763984] [199105,785005]
[209015,758842] [188980,763135]
[211037,754988] [209878,758077]
[227004,798018] [205938,783949]
